time (s),acc (m/s2)
4.54,0.0049
4.545,0.0049
4.55,0.0049
4.555,0.0049
4.56,0.0049
4.565,0.0049
4.57,0.0049
4.575,0.0049
4.58,0.0049
4.585,0.0049
4.59,0.0049
4.595,0.0049
4.6,0.0049
4.605,0.0049
4.61,0.0049
4.615,0.0049
4.62,0.0049
4.625,0.0049
4.63,0.0049
4.635,0.0049
4.64,0.0049
4.645,0.0049
4.65,0.0049
4.655,0.0049
4.66,0.0049
4.665,0.0049
4.67,0.0049
4.675,0.0049
4.68,0.0049
4.685,0.0049
4.69,0.0049
4.695,0.0049
4.7,0.0049
4.705,0.00392
4.71,0.00392
4.715,0.00392
4.72,0.00294
4.725,0.00294
4.73,0.00294
4.735,0.00196
4.74,0.00196
4.745,0.00196
4.75,0.00196
4.755,0.00098
4.76,0.00098
4.765,0.00098
4.77,0
4.775,0
4.78,0.00098
4.785,0.00098
4.79,0.00196
4.795,0.00196
4.8,0.00294
4.805,0.00392
4.81,0.00392
4.815,0.0049
4.82,0.0049
4.825,0.00588
4.83,0.00686
4.835,0.00686
4.84,0.00784
4.845,0.00882
4.85,0.00882
4.855,0.0098
4.86,0.00882
4.865,0.00882
4.87,0.00784
4.875,0.00686
4.88,0.00686
4.885,0.00588
4.89,0.0049
4.895,0.0049
4.9,0.00392
4.905,0.00392
4.91,0.00294
4.915,0.00196
4.92,0.00196
4.925,0.00098
4.93,0.00098
4.935,0
4.94,0
4.945,0.00098
4.95,0.00098
4.955,0.00098
4.96,0.00196
4.965,0.00196
4.97,0.00196
4.975,0.00196
4.98,0.00294
4.985,0.00294
4.99,0.00294
4.995,0.00392
5,0.00392
5.005,0.00392
5.01,0.0049
5.015,0.0049
5.02,0.0049
5.025,0.0049
5.03,0.0049
5.035,0.0049
5.04,0.0049
5.045,0.0049
5.05,0.0049
5.055,0.0049
5.06,0.0049
5.065,0.0049
5.07,0.0049
5.075,0.0049
5.08,0.0049
5.085,0.0049
5.09,0.0049
5.095,0.0049
5.1,0.0049
5.105,0.0049
5.11,0.0049
5.115,0.0049
5.12,0.0049
5.125,0.0049
5.13,0.0049
5.135,0.0049
5.14,0.0049
5.145,0.0049
5.15,0.0049
5.155,0.0049
5.16,0.0049
5.165,0.0049
5.17,0.0049
5.175,0.0049
5.18,0.0049
5.185,0.0049
5.19,0.00588
5.195,0.00588
5.2,0.00588
5.205,0.00686
5.21,0.00686
5.215,0.00686
5.22,0.00784
5.225,0.00784
5.23,0.00784
5.235,0.00882
5.24,0.00882
5.245,0.00882
5.25,0.00882
5.255,0.0098
5.26,0.00882
5.265,0.00882
5.27,0.00882
5.275,0.00882
5.28,0.00784
5.285,0.00784
5.29,0.00784
5.295,0.00686
5.3,0.00686
5.305,0.00686
5.31,0.00588
5.315,0.00588
5.32,0.00588
5.325,0.0049
5.33,0.0049
5.335,0.0049
5.34,0.0049
5.345,0.0049
5.35,0.0049
5.355,0.0049
5.36,0.0049
5.365,0.0049
5.37,0.0049
5.375,0.0049
5.38,0.0049
5.385,0.0049
5.39,0.0049
5.395,0.0049
5.4,0.0049
5.405,0.0049
5.41,0.0049
5.415,0.0049
5.42,0.0049
5.425,0.0049
5.43,0.0049
5.435,0.0049
5.44,0.0049
5.445,0.0049
5.45,0.0049
5.455,0.0049
5.46,0.0049
5.465,0.0049
5.47,0.0049
5.475,0.0049
5.48,0.0049
5.485,0.0049
5.49,0.0049
5.495,0.0049
5.5,0.0049
5.505,0.0049
5.51,0.0049
5.515,0.0049
5.52,0.0049
5.525,0.0049
5.53,0.0049
5.535,0.0049
5.54,0.0049
5.545,0.0049
5.55,0.0049
5.555,0.0049
5.56,0.0049
5.565,0.0049
5.57,0.0049
5.575,0.0049
5.58,0.0049
5.585,0.00392
